English Title,Year,Country,Rating,Number of Raters,Actors,Synopsis,Number of Episode,URL
Stove League,2019,Korea,9.4,5159,"['Namgoong Min', 'Park Eun Bin', 'Oh Jung Se', 'Jo Byeong Gyu', 'Sojin', 'Son Jong Hak', 'Lee Joon Hyuk (1972)', 'Kim Soo Jin', 'Kim Do Hyun', 'Kim Min Sang (1968)', 'Kim Jung Hwa', 'Yoon Sun Woo', 'Lee Yong Woo', 'Jo Han Sun', 'Yoon Byung Hee', 'Ha Do Kwon', 'Yoon Bok In', 'Cha Yup', 'Chae Jong Hyeop', 'Song Young Kyu', 'Kim Ki Moo', 'Kim Kang Min', 'Song Min Hyung', 'Son Kwang Eop', 'Park Jin Woo (1973)', 'Show less']","Se Young is the youngest head of the management team of Dreams, a cellar-dwelling baseball team. She's highly recognized for her perseverance and intense passion for the team. One day, Seung Su is appointed as a general manager. Although he's been working in the sports field, the teams he led to the championship were unpopular, and some of them were even disbanded after winning the league due to the financial difficulties of their parent companies.",17,https://www.viki.com/tv/36754c
My Amazing Boyfriend,2016,China,9.2,43835,"['Kim Tae Hwan', 'Wu Qian', 'Fu Jia', 'Shen Meng Chen', 'Dai Chao', 'Aro Yang', 'Lily Tien', 'Xu Ke', 'Yu Xin He']","How far back do their destinies cross in history? Xue Ling Qiao (Kim Tae Hwan) is a mutant man with superpowers who has been roaming the Earth for 500 years but has been trapped in a deep sleep for the past 100 years. When B-actress Tian Jing Zhi (Wu Qian) gets into a car accident, Ling Qiao is released from his sleep trap. He uses his powers to heal her wounds and bring her back to life. With nowhere else to go, Ling Qiao forces his way into rooming with Jing Zhi in her apartment, becoming embroiled in her crazy world of trying to make it as an actress under the shadows of a perfect A-list star. As they bicker their way to a better relationship, they are shocked to learn that their fates have been entangled by a conspiracy that spans many centuries! “My Amazing Boyfriend” is a 2016 Chinese drama series directed by Deng Ke.",28,https://www.viki.com/tv/31583c
Boys Over Flowers,2009,Korea,9.4,127331,"['Lee Min Ho', 'Ku Hye Sun', 'Kim Hyun Joong', 'Kim Beom', 'Kim Joon', 'Park Ji Bin', 'Nam Da Reum', 'Park Soo Jin', 'Kim So Eun', 'Kim Hyun Joo', 'Han Chae Young', 'Im Joo Hwan', 'Ahn Suk Hwan', 'Seo Min Ji', 'Jang Ja Yun', 'Lee Jung Gil', 'Lee Si Young', 'Show less']","Ask any Kdrama connoisseur to recommend a fan-favorite classic and one of them is bound to suggest Boys Over Flowers. Also known as “Boys before Flowers”, this iconic Kdrama hit is based on the Japanese manga of the same name. 
 
The story centers on an average schoolgirl Jan Di (Kyu Hye Sun) and her confrontations with the four richest and most spoiled boys in her high school. Collectively, these four are known as the “F4”. Coming from a humble family in the dry-cleaning business, Jan Di only got into the prestigious and expensive Shin Hwa High School on a stroke of luck after saving the life of someone on the school’s property and receiving a swimming scholarship in reward.
 
Not one to stir up unnecessary trouble, Jan Di keeps to herself and tries to avoid interactions with rich kids like the F4. However, a turn of events occurs when Jan Di’s best friend Oh Min Ji (Lee Si Young) crosses Goo Joon Pyo (Lee Min Ho), the leader of the F4, by accidentally getting ice cream on his shoes. Jan Di decides that enough is enough and stands up for her friend against the group.
 
As it turns out, Jan Di discovers that there’s more to the members than their spoiled-boy façade and finds herself falling in love with one of them. At the same time, Goo Joon Pyo begins to battle his attraction towards her. How will this love triangle change the dynamics of the group?
 
Achieving sky-high ratings and bagging plenty of awards across Asia around the turn of the last decade, Boys Over Flowers will be a treat for anyone interested in the themes revolving around issues like socio-economic disparity, family ties, and the joys of love and friendship.
 
Get ready for addictive drama, romance, and comedy at its best! With a cast made of worldwide famous actors, this puppy love story is a must-watch for those into the world of kdramas.",25,https://www.viki.com/tv/50c
Youth,2018,China,9.3,14352,"['Wang Yan Zhi', 'Vian Wang', 'He Lan Dou', 'Yang Zhi Ying', 'Esther Yu', 'Zhao Zhi Wei', 'Hu Wen Tao', 'Cao Xi Ge', 'Aro Yang', 'Li Jiu Lin', 'Cao Yu Chen', 'Mao Fan', 'Show less']","Lin Xiao Chun (He Lan Dou), Chen Chen Chen (Esther Yu), Han Yi Tong (Wang Yan Zhi), Ni Jin (Yang Zhi Ying), and Zhang Sheng Nan (Vian Wang) have a lot in common. They’re all university students in their twenties who call the same dormitory home. But just because they have a lot in common doesn’t mean they’re living the same life.

Growing up in the heavy shadow of her perfect older sister, Chen Chen often struggles with her own self-confidence. Painfully shy and a bit of a coward, Xiao Chun has always struggled to fit in with her peers. Raised by her single mother, Yi Tong has always tried to keep an optimistic attitude, despite the fact that she has spent her entire life simply trying to gain the attention of her mother. Choosing to ignore the realities of life, Ni Jin lives her life entirely dependent on her current sugar daddy while Sheng Nan’s life is exactly the opposite. The sole supporter of her, Sheng Nan works a number of part-time jobs to support her ailing brother and debt-ridden mother. 

As each young woman struggles with their own personal issues, they come to find that having each other around makes life more bearable. Will the friendship that blossoms between them give each of them the strength to overcome the trials they each face?

Full of life’s ups and downs, “Youth” is a 2018 Chinese slice-of-life drama directed by Ding Zi Guang.",26,https://www.viki.com/tv/35694c
Angel's Last Mission: Love,2019,Korea,9.5,71178,"['Kim Myung Soo (L)', 'Shin Hye Sun', 'Lee Dong Gun', 'Kim Bo Mi', 'Do Ji Won', 'Kim In Kwon', 'Woo Hee Jin', 'Lee Ye Na', 'Lee Je Yeon', 'Kim Seung Wook']","People fall in love and devote their lives to love. Sometimes, they take the other one\u2019s life away for their love. A cold-hearted woman meets an immature angel, and they get to confront unexpected tragedy and crucial moments. Yeon Seo is a cynical and arrogant ballerina. She becomes the heiress because of her parent\u2019s sudden death. She doesn\u2019t believe anyone since there are a lot of people around her who lurk her inherited money. Her distrust and arrogance make her unable to love. She becomes the best ballerina, but she gets to meet an accident and has to give up her dream. Dan is a mischievous angel. When he ends his duty as an angel on the earth, he gets to cause trouble and has only one last chance to overcome his critical situation to be extinct. And that last chance is to be a Cupid for Yeon Seo, but he despairs that he has to look after such an arrogant Yeon Seo.",32,https://www.viki.com/tv/36575c
My Boss,2024,China,9.3,26927,"['Chen Xing Xu', 'Zhang Ruo Nan', 'Chen Xiao Yun', 'Li Jun Xian', 'He Wen Jun', 'Li Dian Zun']","Are Cheng Yao (Zhang Ruo Nan)’s dreams of becoming a top lawyer about to come true? It seems so – when she is unexpectedly recruited by a leading legal firm. Excited, she moves house so she can be nearer her new office. She moves in, full of hope, and soon encounters her new roommate Qian Heng (Chen Xing Xu). However, a surprise awaits her on her first day at work…

Qian Heng turns out to be her direct superior at the office...and he proves to be incredibly hard to please! Her training period quickly turns into a baptism of fire, and she starts to feel as though he is trying to chase her out of the company. But Cheng Yao won’t be so easily deterred. She redoubles her efforts, determined to prove she’s got what it takes to succeed. Could her zeal send this duo on the path to harmony...and even love?

This drama was based on a novel named “What Comes Around Goes Around” by Ye Fei Ran.

“My Boss” is a 2024 Chinese drama series that was directed by Chen Ming Zhang and Chen Shi Yi.",36,https://www.viki.com/tv/40344c
The Night I Became an Animal,2021,Japan,8.3,12635,"['Oshima Ryoka', 'Tezuka Mai', 'Kojima Riria', 'Sakanoue Akane', 'Reiya Masaki', 'Inoue Sora']","*Seasons 1, 2, and 3 of ""The Night I Became an Animal"" are included in this title.*

Sometimes in a woman’s life, passions boil over and lead them to do things that – in ordinary circumstances – they would never dream of doing. And sometimes this manifests itself in a desire for intimacy. This omnibus-style drama series focuses on a different woman in each episode, focusing on the series of events that led up to a single instance of “transforming into an animal.”

In the first episode, a 28-year-old woman (Oshima Ryoka) has been living together with her boyfriend for three years and is frustrated by the fact that their relationship has become completely sexless. When she attends a school reunion, however, she finds herself drawn to an ex-classmate. Will she indulge in her passions? In another episode, a 29-year-old woman (Kojima Riria) who is in an awkward relationship with her boyfriend has a row with him in a restaurant. In another, a woman (Tezuka Mai) considers the idea of workplace romance – while in another, a geeky junior college student (Sakanoue Akane) with no experience in love edges toward her first intimate encounter!

“The Night I Became an Animal” is a 2021-2022 Japanese drama series that was directed by Keinosuke Hara and Hiroki Shibasaki.",14,https://www.viki.com/tv/39497c
BOYS OVER FLOWERS 2 (returns),2007,Japan,9.2,14847,"['Inoue Mao', 'Matsumoto Jun', 'Oguri Shun', 'Matsuda Shota', 'Abe Tsuyoshi', 'Mayumi Sada', 'Natsuki Kato', 'Shihori Kanjiya', 'Nishihara Aki', 'Sugisaki Hana']","It’s been a year since Domyouji Tsukasa (Jun Matsumoto) left for New York but Makino Tsukushi (Mao Inoue) refuses to accept his reasons for going alone. Following him to New York, Makino is convinced she’ll be able to find Domyouji and make him explain himself, but her adventures in New York turn out to be much different than those she had planned. Despite the difficulties she has upon arrival, Makino eventually has the chance to confront Domyouji, but all of her hopes of reconciliation are crushed by his cold demeanor.

Convinced Domyouji has changed completely, Makino returns to Japan heartbroken. Determined to erase all thoughts of and lingering feelings for Domyouji away completely, Makino focuses on her studies but no matter how hard she tries, fate seems determined to bring them back together in some of the cruelest ways possible. Unable to escape her seemingly unfortunate fate, Makino turns to Rui Hanazawa (Shun Oguri) for strength and comfort, a fact that doesn’t go unnoticed by Domyouji. Jealous of Rui and Makino’s growing relationship, Domyouji finds himself torn between his feelings for Makino and the duty he has to fulfill for the sake of his family.

Caught in a complicated web of broken hearts and new relationships, it seems as if Domyouji and Makino’s time together has truly ended. But fate, it would seem, hasn’t finished with them yet. Brought together one last time, will Makino and Domyouji finally have a chance to live happily ever after?

A sequel to the 2005 hit series, “BOYS OVER FLOWERS”based on the manga of the same name by Yoko Kamio, “BOYS OVER FLOWERS 2 (returns) is a 2007 Japanese drama directed by Ishii Yasuharu.",11,https://www.viki.com/tv/38390c
Star in My Mind,2022,Thailand,9.2,7049,"['Dunk Natachai Boonprasert', 'Joong Archen Aydin', 'Pepper Phanuroj Chalermkijporntavee', 'JJ Chayakorn Jutamas', 'Winny Thanawin Pholcharoenrat', 'Thor Thinnaphan Tantui']","Preparing to spend his final year of high school studying abroad, Daonuea (Dunk Natachai Boonprasert) wants to make sure he ties up any loose ends before he goes. Having harbored a crush on his classmate Khabkluen (Joong Archen Aydin) for ages, Daonuea feels the time has come to finally confess his feelings. Confronting Khabkluen on his last day of school, Daonuea does just that but is immediately rejected.

Leaving for Germany with a broken heart, Daonuea spends the next year abroad doing everything he can to let go and move on. Returning to Thailand a year later, Daonuea is excited to start his first year of university. Stepping onto campus, Daonuea is surprised to find that Khabkluen is not only attending the same school but is also living in the same dorm. Embarrassed by the feelings he once shared with Khabkluen, Daonuea does his best to try to ignore his former crush’s existence and Khabkluen does the same. But when Daonuea catches the eye of another student, he suddenly becomes very hard for Khabkluen to ignore.

Noticing Khabkluen noticing him, Daonuea is confused by an overwhelming rush of emotions. Having convinced himself he no longer cared for Khabkluen, Daonuea is now reluctantly forced to admit that he still has feelings for his former crush. Having had his heart broken by Khabkluen once already, is Daonuea willing to risk it again for a chance to be with his high school crush?

Adapted from the novel ""Depending on the Stars” by Peachhplease, “Star in My Mind” is a 2022 Thai romance drama directed by New Siwaj Sawatmaneekul.",8,https://www.viki.com/tv/39525c
Witch's Love,2018,Korea,9.3,55708,"['Hyun Woo', 'Yoon So Hee', 'Lee Hongbin', 'Kim Young Ok', 'Go Soo Hee', 'Choi Jae Sup', 'Choi Tae Hwan', 'Lee Kan Hee']","In plain sight in bustling Seoul, three generations of witches have been living below the radar of everyone around them.

Kang Cho Hong (Yoon So Hee) operates a restaurant with her fellow witches, Maeng Ye Soon (Kim Young Ok) and Jo Aeng Doo (Go Soo Hee). They try to keep a low profile, but Cho Hong’s youthful good looks attracts the attention of a neighborhood guy, Hwang Jae Wook (Lee Hongbin), who is constantly trying to get close to her.

Cho Hong and her fellow witches’ quiet lives become complicated when their building landlord, Ma Sung Tae (Hyun Woo), shows up one day. Sung Tae wants to face a traumatic incident that happened to him in that building when he was a little boy.

With Sung Tae nosing around their business on a regular basis, can Cho Hong keep her true identity a secret from him?

“Witch’s Love” is a 2018 South Korean drama series directed by Park Chan Yool.

ⓒMBN All rights reserved
KIMJONGHAK PRODUCTION Co.,Ltd.",12,https://www.viki.com/tv/36108c
Oh My Venus,2015,Korea,9.7,157543,"['So Ji Sub', 'Shin Min Ah', 'Jung Gyu Woon', 'Yoo In Young', 'Sung Hoon', 'Henry Lau', 'Jung Hye Sung', 'Kwon Ki Sun', 'Nam Gi Ae', 'Ahn Ji Hoon', 'Choi Jin Ho', 'Kim Jung Pal', 'Show less']","In Greek mythology, Venus was the goddess of love and symbolized beauty. However, we are now living in a world that is materialistic. The definition of beauty in the 21st century has changed and is now portraying being skinny as beautiful. In this drama, the female lead character named Jueun who used to be popular for her beauty in high school has gained a lot of weight and gets dumped by her boyfriend. Then she decides to lose weight with the help of John Kim who is a famous personal trainer to Hollywood stars. By showing the struggles of Jueun and John Kim, 'Oh My Venus' is trying to tell us that physical beauty isn\u2019t everything.",16,https://www.viki.com/tv/28538c
liar,2022,Japan,8.7,11467,"['Yuki Furukawa', 'Sato Taiki', 'Mikami Ai', 'Kawashima Umika', 'Sato Yusuke', 'Yamaya Kasumi', 'Shogo Hama']","Narita Misao (Mikami Ai) has just started working in a new, white-collar job. She is the youngest member of the team, and has developed a crush on her line manager Tsukasa Deno (Yuki Furukawa). She sits next to Ichikawa Kazuya (Sato Taiki), an abrasive fellow employee who has an annoying habit of speaking his mind whenever he feels like it. While she tries to work her way into Tsukasa Deno’s heart, Ichikawa Kazuya teases her. But when Ichikawa Kazuya invites her manager to have sushi with him and some other workmates, she agrees to come along.

However, Tsukasa Deno doesn’t show up to the meal, and after the event is over, Narita Misao and Ichikawa Kazuya begin texting one another. Their messages begin to hint at romantic feelings, but at work, later, Ichikawa Kazuya tells her that he has a girlfriend. Regardless, the flirtatious messages continue – until she learns that he is actually engaged to another woman. Confusion and guilt set in...but her feelings for this two-timer are far too strong to simply resist. Meanwhile, Tsukasa Deno is also developing feelings for her, leading to yet more conflicting feelings!

“liar” is a 2022 Japanese drama series that was directed by Kumasaka Izuru.",12,https://www.viki.com/tv/38447c
Fated to Love You,2008,Taiwan,9.1,16962,"['Baron Chen', 'Joe Chen', 'Ethan Juan', 'Bianca Bai', 'Tracy Deng', 'Yen Chia Le', 'Qu Zhong Heng', 'Titan', 'Chen Wei Min', 'Derrick Chang', 'Patrick Lee', 'Show less']","When Chen Xin Yi tries to save her relationship with her no-good boyfriend, she mistakenly sleeps with a total stranger, Ji Cun Xi. Although they try to forget about the one-night stand, Xin Yi later discovers that she is pregnant. When the family of Cun Xi, who is the sole male heir to a successful family business, discovers that Xin Yi is having his baby, they force the two to marry. Will the pushover Xin Yi learn to stand up for herself or will fate have other plans for her?",24,https://www.viki.com/tv/228c
